Provider ID,FRN,holding_company
130427,1731710,"E. Ritter Communications Holdings, Inc."
131232,1731785,"Southwest Arkansas Telephone Cooperative, Inc."
130882,1731850,"NATCO Communications, Inc."
130386,1732668,"D D & B, Inc."
131302,1742170,"Telapex, Inc."
140030,1742501,Fail Telecommunication Corporation
190367,1745603,The Utilities Board of the City of Sylacauga
131480,1753557,"WideOpenWest Finance, LLC"
131038,1753870,Pine Belt Communications Co. Inc.
131226,1753938,American Broadband Holding Company
131038,1754209,Pine Belt Communications Co. Inc.
260000,1754738,"Farmers Telecommunications Cooperative, Inc."
130844,1756089,Millry Corporation
500010,1758705,City of Dickson Department of Electricity
370127,1758846,Tullahoma Utilities Authority
260009,1762582,Columbia Power and Water Systems
160108,1762939,Bristol Tennessee Essential Services
130396,1768159,"DeKalb Telephone Cooperative, Inc."
370129,1769405,Union City Energy Authority
131611,1773225,"Highland Telephone Cooperative, Inc. (KY & TN)"
130112,1773464,"Ben Lomand Rural Telephone Coop., Inc."
131384,1773670,Twin Lakes Telephone Cooperative Corporation
130446,1778893,"Electric Plant Board of the City of Glasgow, KY"
510013,1778935,"Electric Plant Board of the City of Paducah, Kentucky"
190184,1779420,Henderson Municipal Power & Light
190089,1779594,City of Williamstown
190282,1783414,Owensboro Municipal Utilities
150312,1783612,Russellville Electric Plant Board
330031,1783653,Franklin Electric Plant Board
131328,1786607,"Thacker-Grigsby Telephone Company, Inc."
130655,1791995,Gearheart Communications
190182,1792563,"Harlan Community Television, Inc."
131216,1792696,South Central Rural Telecommunications Cooperative Inc.
130865,1792787,"Mountain Rural Telephone Cooperative Corporation, Inc."
240037,1813369,Fort Pierce Utilities Authority
180014,1824325,City of LaGrange
131051,1833193,Plant Telephone Company
130360,1834696,"Cox Communications, Inc."
131227,1835073,Southern Company
300086,1844554,MCNC
131113,1855287,Ringgold Telephone Company
130265,1855337,Citizens Mutual Telephone Cooperative (GA)
330025,1856145,Uniti Group Inc.
131076,1856236,"Public Service Communications, Inc."
130391,1856400,"Darien Telephone Company, Inc."
130151,1856426,"Strickland Communications, Inc."
140030,1856483,Fail Telecommunication Corporation
130746,1856566,"Lintel, Inc."
131041,1856673,"Pineland Telephone Cooperative, Inc."
131485,1857598,"Dycom Holding, Inc."
130077,1857952,AT&T Inc.
150258,1858760,Ellijay Telephone Company
470018,1858927,Coastal Electric Membership Corporation
460645,1859339,Altamaha Electric Corporation
131158,1886464,"Sandhill Telephone Cooperative, Inc."
130183,1886704,"Cable One, Inc."
131005,1886860,"Palmetto Rural Telephone Cooperative, Inc."
130620,1886944,"Horry Telephone Cooperative, Inc."
131459,1886977,"West Carolina Rural Telephone Cooperative, Inc."
130490,1887025,"Farmers Telephone Cooperative, Inc. (SC)"
130242,1887116,"TruVista Communications, Inc."
131036,1887140,"Piedmont Rural Telephone Cooperative, Inc."
131125,1887728,"Comporium, Inc."
131125,1888718,"Comporium, Inc."
131125,1889245,"Comporium, Inc."
131125,1889617,"Comporium, Inc."
131486,1912138,Wilkes Telephone Membership Corporation
131042,1913979,Town of Pineville
130926,1940022,North Carolina RSA 3 Cellular Telephone Company
130082,1951144,Atlantic Telephone Membership Corporation
131089,1951284,Randolph Telephone Membership Corporation
131199,1952555,Skyline Telephone Membership Corporation
131283,1952605,Surry Telephone Membership Corporation
330025,1959758,Uniti Group Inc.
380045,1960673,French Broad Electric Membership Corporation
131252,1960962,Star Telephone Membership Corporation
131125,1961416,"Comporium, Inc."
130588,2008043,"Hardy Telecommunications, Inc."
131303,2009405,"TelAtlantic, Inc."
131024,2061653,Pembroke Telephone Cooperative
131181,2064145,Shenandoah Telecommunications Company
131170,2069862,Scott County Telephone Cooperative
130901,2071579,New Hope Telephone Cooperative (VA)
131181,2072668,Shenandoah Telecommunications Company
440025,2072916,Craig-Botetourt Electric Cooperative
131425,2073203,Verizon Communications Inc.
380016,2073427,BARC Electric Cooperative
131425,2109213,Verizon Communications Inc.
131167,2154367,"Schurz Communications, Inc."
131208,2154706,"Smith Bagley, Inc."
131425,2166825,Verizon Communications Inc.
130697,2212314,Kingdom Telephone Company
131145,2285260,S&T Telephone Cooperative Association
230006,2295400,City of Chanute Kansas
131141,2320430,Rural Telephone Service Company
130684,2323731,"KanOkla Telephone Association, Inc."
131395,2327153,"United Telephone Association, Inc."
300192,2329662,"USConnect Holdings, Inc."
130460,2330843,Epic Touch Company
130144,2331262,"Blue Valley Tele-Communications, Inc."
131900,2332930,"Cunningham Management, Inc."
131087,2333649,"Rainbow Telecommunications Association, Inc."
130551,2333672,"Golden Wheat, Inc."
420187,2333839,"Golden Belt Telephone Association, Inc"
140092,2333888,"Twin Valley Management, Inc."
130364,2334225,Craw-Kan Telephone Cooperative Inc.
140092,2334407,"Twin Valley Management, Inc."
131044,2334795,"Pioneer Telephone Association, Inc."
131395,2335099,"United Telephone Association, Inc."
131141,2336105,Rural Telephone Service Company
130860,2339976,The Moundridge Telephone Company
130546,2387033,Glenwood Telephone Membership Corp.
130114,2387264,BW Telcom
130361,2387868,Cozad Telephone Company
130546,2388262,Glenwood Telephone Membership Corp.
131349,2388684,Three River Telco
130941,2388882,Northeast Nebraska Telephone Company
131461,2392249,West Iowa Telephone Company
150250,2393379,DTC Holding Company
131043,2393544,"Pinpoint Holdings, Inc."
130274,2405215,City of Faith Municipal Telephone Company
130243,2426831,Cheyenne River Sioux Tribe Telephone Authority
270099,2429686,"Western Communications, Inc."
140101,2430163,West River Cooperative Telephone Company
131409,2430510,"Valley Telecommunications Cooperative Association, Inc."
130828,2430536,"Midstate Communications, Inc. (SD)"
130550,2430684,"Golden West Telecommunications Cooperative, Inc."
130797,2430916,"TrioTel Communications, Inc."
130040,2432672,"Alliance Communications Cooperative, Inc."
130184,2475168,"Cable Services, Inc."
130337,2476281,Consolidated Telcom
131407,2477503,UTMA
130108,2477636,BEK Communications Cooperative
131465,2477651,West River Telecommunications Cooperative
130950,2477693,Northwest Communications Cooperative
131102,2477743,Reservation Telephone Cooperative
300087,2487908,Marshall Municipal Utilities
130736,2490472,STEL-CO
130798,2504058,McDonald County Telephone Company
130263,2504298,Green Hills Telephone Corporation
130560,2505519,Grand River Mutual Telephone Corporation
360007,2506384,Barry Electric Cooperative
430203,2513240,Kennett Board of Public Works
130781,2531879,Mark Twain Rural Telephone Company
280047,2533297,"Rayfield Communications, Inc."
130833,2545929,McCammon Enterprises
130781,2549228,Mark Twain Rural Telephone Company
131260,2549665,"Steelville Telephone Exchange, Inc."
130183,2550309,"Cable One, Inc."
130433,2557627,East Buchanan Telephone Cooperative
130290,2557742,Clear Lake Independent Telephone Company
131239,2561884,Spencer Municipal Communications Utility
190085,2564870,City of Hawarden
190180,2565059,Grundy Center Municipal Light & Power
131008,2575777,Panora Communications Cooperative
130757,2576452,Long Lines
130877,2586998,Mutual Telephone Company (IA)
130877,2587707,Mutual Telephone Company (IA)
131222,2587863,"South Slope Cooperative Telephone Company, Inc."
130598,2587954,Heart of Iowa Communications Cooperative
130849,2588051,Modern Cooperative Telephone Company
130346,2588192,Cooperative Telephone Company
130223,2588606,"Center Junction Telephone Company, Inc."
130092,2589281,"Baldwin Nashville Telephone Company, Inc."
131457,2589307,Webster-Calhoun Cooperative Telephone Association
130732,2589604,Lehigh Valley Cooperative Telephone Association
131507,2590032,Woolstock Mutual Telephone Association
131494,2590057,Winnebago Cooperative Telecom Association
131472,2590073,Western Iowa Telephone Association
130979,2590586,Onslow Cooperative Telephone Association
130475,2591063,Farmers Cooperative Telephone Company-Dysart
130682,2591154,Kalona Cooperative Telephone Company
130846,2592061,"Minerva Valley Telephone Company, Inc."
130302,2592285,C-M-L Telephone Cooperative Association
131463,2592384,West Liberty Telephone Company
131461,2592392,West Iowa Telephone Company
131458,2592426,Wellman Cooperative Telephone Association
131085,2592509,"Radcliffe Telephone Company, Inc."
130353,2592517,Corn Belt Telephone Company
131414,2592640,"Van Buren Telephone Co., Inc."
131613,2592897,Sully Telephone Association
131267,2592921,Stratford Mutual Telephone Company
130344,2593358,"Coon Valley Cooperative Telephone Association, Inc."
131166,2593440,Schaller Telephone Company
131146,2593481,Sac County Mutual Telephone Company
131096,2593655,Readlyn Telephone Company
